RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned,Loyalty_Score
711,15722548,Fisher,540,France,Male,48,0,148116.48,1,0,0,116973.48,0,0,3,GOLD,274,13.74
719,15696859,Oldham,474,France,Male,45,10,0.0,2,0,0,172175.9,0,0,4,PLATINUM,792,38.92
721,15721658,Fleming,672,Spain,Female,56,2,209767.31,2,1,1,150694.42,1,1,5,PLATINUM,742,31.42
730,15612525,Preston,499,France,Female,57,1,0.0,1,0,0,131372.38,1,1,3,GOLD,251,15.01
735,15612966,Milani,545,Germany,Female,60,7,128981.07,1,0,1,176924.21,1,1,5,GOLD,907,38.57
739,15661036,Davis,725,France,Male,46,6,0.0,2,1,0,161767.38,0,0,2,GOLD,393,22.93
744,15641675,Kirillova,611,France,Female,49,2,88915.37,3,0,0,161435.02,1,1,1,PLATINUM,561,17.61
745,15670755,Shaw,650,France,Male,60,8,0.0,2,1,1,102925.76,0,0,3,GOLD,256,29.56
750,15698839,Okwudilichukwu,460,Germany,Male,46,4,127559.97,2,1,1,126952.5,0,0,5,SILVER,287,29.87
767,15810864,Williamson,700,France,Female,82,2,0.0,2,0,1,182055.36,0,0,2,GOLD,603,21.03
768,15677921,Bobrov,720,Germany,Male,60,9,115920.62,2,0,0,157552.08,1,1,1,PLATINUM,274,23.240000000000002
775,15789158,Nikitina,636,Germany,Male,49,6,113599.74,2,1,0,158887.09,1,1,2,PLATINUM,752,26.52
777,15712551,Shen,622,Germany,Female,58,7,116922.25,1,1,0,120415.61,1,1,2,GOLD,475,23.25
785,15571221,Bergamaschi,747,Germany,Male,58,7,116313.57,1,1,1,190696.35,1,1,3,PLATINUM,844,31.939999999999998
790,15653253,Pagnotto,704,Spain,Male,48,8,167997.6,1,1,1,173498.45,0,0,2,SILVER,970,31.7
792,15643696,Young,611,France,Male,49,3,0.0,2,1,1,142917.54,0,0,4,PLATINUM,437,26.87
793,15707473,Summers,850,Germany,Female,48,6,111962.99,1,1,0,111755.8,0,0,5,GOLD,446,30.46
797,15668747,Virgo,702,France,Female,46,9,98444.19,1,0,1,109563.28,0,0,1,PLATINUM,511,25.61
801,15747542,Perez,605,France,Male,52,7,0.0,2,1,1,173952.5,0,0,3,PLATINUM,435,29.85
808,15798906,Cox,628,France,Male,69,5,0.0,2,1,1,181964.6,0,0,3,DIAMOND,348,25.98
809,15708917,Martin,598,Germany,Male,53,10,167772.96,1,1,1,136886.86,0,0,5,SILVER,686,40.86
812,15649992,Alexander,681,Spain,Male,65,7,134714.7,2,0,1,190419.81,0,0,3,GOLD,854,34.04
824,15757811,Lloyd,732,Spain,Female,69,9,137453.43,1,0,1,110932.24,1,1,5,PLATINUM,719,39.69
827,15660535,Avent,680,France,Female,47,5,0.0,2,1,1,179843.33,0,0,1,DIAMOND,735,23.85
846,15592222,Lo,505,France,Male,49,7,80001.23,1,0,0,135180.11,0,0,5,GOLD,726,34.76
849,15646558,Clamp,611,Spain,Male,51,1,122874.74,1,1,1,149648.45,0,0,1,PLATINUM,247,10.97
852,15794048,Wan,667,Germany,Female,48,1,97133.92,2,0,0,113316.77,1,1,5,GOLD,736,27.86
860,15809087,Landry,598,France,Male,64,1,0.0,2,1,0,195635.3,1,1,1,PLATINUM,839,16.89
868,15756804,O'Loghlen,636,France,Female,48,1,170833.46,1,1,0,110510.28,1,1,1,PLATINUM,654,13.04
869,15646810,Quinn,603,Germany,Male,44,6,108122.39,2,1,0,108488.33,1,1,3,GOLD,652,28.52
885,15777211,Herrera,515,France,Male,65,7,92113.61,1,1,1,142548.33,0,0,5,PLATINUM,802,37.519999999999996
889,15702968,Artemieva,733,Germany,Male,74,3,106545.53,1,1,1,134589.58,0,0,1,GOLD,978,21.28
903,15792388,Li,645,France,Female,48,7,90612.34,1,1,1,149139.13,0,0,3,DIAMOND,803,31.53
905,15794580,Ch'en,599,France,Male,58,4,0.0,1,0,0,176407.15,1,1,2,GOLD,818,22.18
908,15724848,Oluchukwu,516,France,Female,46,1,104947.72,1,1,0,115789.25,1,1,5,DIAMOND,665,25.15
912,15746490,Wollstonecraft,648,Spain,Female,53,6,111201.41,1,1,1,121542.29,0,0,4,PLATINUM,715,32.15
923,15753337,Yeates,555,France,Male,51,5,0.0,3,1,0,189122.89,1,1,1,PLATINUM,406,20.56
938,15662100,Hsu,850,Germany,Female,44,5,128605.32,1,0,1,171096.2,0,0,2,PLATINUM,952,27.02
943,15804586,Lin,376,France,Female,46,6,0.0,1,1,0,157333.69,1,1,2,PLATINUM,979,26.79
949,15783659,Blackburn,659,France,Male,67,4,145981.87,1,1,1,131043.2,0,0,1,PLATINUM,513,18.13
953,15606149,Wood,571,Germany,Female,66,9,111577.01,1,0,1,189271.9,0,0,1,PLATINUM,445,24.95
964,15731815,Nepean,529,Spain,Male,63,4,96134.11,3,1,0,108732.96,1,1,3,GOLD,693,27.93
970,15605926,Sinclair,649,Germany,Male,70,9,116854.71,2,0,1,107125.79,0,0,3,DIAMOND,989,38.39
980,15642937,Padovesi,550,France,Female,46,7,0.0,2,1,0,130590.35,0,0,5,GOLD,473,34.230000000000004
982,15566156,Franklin,749,Germany,Female,44,0,71497.79,2,0,0,151083.8,0,0,1,SILVER,378,10.78
990,15681206,Hsing,722,France,Female,49,3,168197.66,1,1,0,140765.57,1,1,1,SILVER,383,13.33
1009,15569050,Farrell,444,France,Male,45,6,0.0,1,1,0,130009.85,1,1,4,GOLD,669,29.69
1010,15750765,Sanders,650,Spain,Male,71,0,0.0,1,1,1,175380.77,0,0,5,GOLD,928,28.28
1021,15654673,Onyinyechukwuka,625,France,Male,49,6,173434.9,1,1,0,165580.93,1,1,3,SILVER,835,28.35
1030,15688071,Collins,609,Spain,Male,53,10,0.0,1,1,1,154642.91,0,0,3,SILVER,498,32.980000000000004
1035,15689176,Fabro,663,France,Male,46,3,0.0,2,0,1,176276.1,0,0,1,DIAMOND,275,16.25
1048,15793949,Cheng,726,France,Female,48,4,0.0,1,1,0,114020.06,1,1,2,DIAMOND,283,16.83
1056,15769499,Lampungmeiua,545,Spain,Female,74,3,0.0,2,1,1,161326.73,0,0,2,SILVER,423,20.73
1058,15706534,Enyinnaya,581,France,Female,47,1,122949.14,1,0,0,180251.68,1,1,2,DIAMOND,983,19.33
1061,15650933,Ma,490,Spain,Female,48,8,155413.06,1,1,0,187921.3,0,0,3,GOLD,319,26.19
1071,15648075,Hebert,686,Germany,Female,47,5,170935.94,1,1,0,173179.79,1,1,5,GOLD,983,34.33
1115,15626147,Maclean,608,France,Female,62,8,144976.5,1,0,0,175836.03,1,1,1,GOLD,836,25.36
1118,15592583,Colman,731,France,Female,47,1,115414.19,3,0,0,191734.67,1,1,3,GOLD,611,22.61
1119,15759381,Johnson,617,Spain,Male,61,7,91070.43,1,1,1,101839.77,0,0,2,DIAMOND,647,26.97
1126,15645316,Han,612,Germany,Female,58,1,149641.53,1,1,1,115161.28,0,0,5,GOLD,405,24.55
1153,15589754,Malloy,652,Germany,Male,45,2,151421.44,1,0,1,115333.43,0,0,2,GOLD,388,16.88
1154,15669899,Fitts,755,Germany,Female,45,7,135643.0,1,0,0,143619.52,1,1,3,PLATINUM,265,24.15
1158,15811327,Pan,700,Spain,Male,54,1,79415.67,1,0,1,139735.54,0,0,5,PLATINUM,546,25.96
1166,15723907,Lawless,712,Germany,Female,49,5,154776.42,2,0,0,196257.68,0,0,3,PLATINUM,822,28.72
1179,15782454,Hancock,552,France,Male,49,4,0.0,1,1,1,190296.76,1,1,1,SILVER,759,20.59
1193,15589572,Otutodilichukwu,785,Spain,Female,61,4,129855.72,2,1,0,170214.82,1,1,4,SILVER,766,29.66
1202,15651052,McMasters,399,Germany,Male,46,2,127655.22,1,1,0,139994.68,1,1,5,PLATINUM,475,24.75
1209,15616451,Genovese,697,France,Female,47,6,128252.66,1,1,1,168053.4,0,0,1,DIAMOND,281,18.81
1216,15625080,Parkin,745,Spain,Female,54,8,0.0,1,1,0,173912.29,1,1,1,GOLD,447,21.47
1225,15628298,Johnstone,500,Spain,Female,47,8,128486.11,1,1,0,179227.12,0,0,4,SILVER,641,32.41
1233,15607537,Crawford,587,Germany,Male,46,9,107850.82,1,1,0,139431.0,1,1,3,SILVER,744,31.94
1235,15684865,Lucchesi,771,France,Female,66,7,143773.07,1,1,1,130827.88,0,0,2,DIAMOND,625,26.75
1236,15600700,Pan,523,Germany,Male,63,6,116227.27,1,1,1,119404.63,0,0,5,DIAMOND,738,35.38
1254,15699523,Chu,499,Germany,Female,55,4,126817.65,2,1,0,123269.71,0,0,5,PLATINUM,390,28.9
1266,15662291,Davidson,534,France,Female,55,8,116973.26,3,1,0,122066.5,1,1,1,PLATINUM,840,29.4
1269,15617078,Ewing,658,France,Female,44,6,148481.09,1,1,0,130529.13,0,0,4,SILVER,940,32.4
1279,15641690,Hsiao,681,Spain,Male,67,7,0.0,2,0,1,163714.92,0,0,1,SILVER,444,23.94
1282,15779182,Chia,790,Spain,Male,46,8,182364.53,1,0,0,139266.48,1,1,2,GOLD,661,26.61
1284,15609510,Gregory,669,France,Male,45,7,149364.58,1,0,1,173454.07,0,0,5,SILVER,263,32.13
1306,15800434,Burgess,811,Germany,Male,52,10,76915.4,1,0,0,146359.81,1,1,2,GOLD,488,27.88
1315,15644833,Duncan,675,France,Male,54,2,0.0,1,1,0,149583.67,1,1,5,SILVER,752,27.52
1321,15596493,Wisdom,687,France,Female,47,7,0.0,2,1,1,177624.01,0,0,1,DIAMOND,517,24.67
1343,15640268,Avdeeva,652,Spain,Male,71,4,0.0,1,1,1,120107.1,0,0,3,DIAMOND,305,22.05
1374,15771942,Tikhonov,528,Germany,Female,46,9,135555.66,1,1,0,133146.03,1,1,4,PLATINUM,764,35.14
1375,15774738,Campa,632,France,Male,44,3,107764.75,1,1,0,185667.72,0,0,4,GOLD,582,24.32
1378,15808228,Tuan,768,Spain,Female,44,6,60603.4,1,1,1,178045.97,0,0,4,DIAMOND,570,30.7
1388,15674526,Byrne,725,France,Male,66,4,86459.8,1,1,1,141476.56,0,0,5,DIAMOND,279,27.79
1390,15684196,Aitken,627,France,Female,55,2,159441.27,1,1,0,100686.11,1,1,3,DIAMOND,485,18.85
1393,15730540,Simpson,794,Spain,Male,45,8,88656.37,2,1,0,116547.31,0,0,4,DIAMOND,618,34.18
1396,15697095,Zetticci,705,Spain,Male,46,7,0.0,2,1,0,117273.35,0,0,2,GOLD,946,29.96
1406,15612494,Panicucci,359,France,Female,44,6,128747.69,1,1,0,146955.71,1,1,1,PLATINUM,981,23.810000000000002
1408,15600821,Hardy,721,France,Male,69,2,108424.19,1,1,1,178418.35,0,0,1,PLATINUM,260,12.6
1411,15710164,P'eng,523,France,Female,73,7,0.0,2,0,0,130883.9,1,1,5,DIAMOND,566,35.16
1420,15705657,Hewitt,535,France,Female,44,2,114427.86,1,1,1,136330.26,0,0,1,PLATINUM,948,19.48
1428,15799966,Chigolum,792,Germany,Female,59,9,101609.77,1,0,0,161479.19,1,1,5,DIAMOND,779,38.29
1429,15794560,Maclean,550,France,Male,57,5,0.0,1,1,1,133501.94,0,0,5,PLATINUM,484,31.34
1434,15585282,Trevisano,755,France,Male,62,1,127706.33,2,0,1,142377.69,0,0,2,DIAMOND,673,20.23
1436,15596021,K?,598,Spain,Male,44,8,0.0,2,1,0,148487.9,0,0,4,SILVER,909,37.09
1442,15688713,McCall,627,Spain,Male,44,6,0.0,1,1,1,114469.55,0,0,5,SILVER,258,30.58
1449,15585367,Diribe,555,Germany,Female,46,4,120392.99,1,1,0,177719.88,1,1,5,SILVER,594,28.94
1454,15714227,Kelly,672,France,Female,53,7,0.0,1,1,1,136910.18,0,0,3,PLATINUM,311,26.61
1469,15814846,Ozerova,691,France,Male,52,3,0.0,1,1,0,175843.68,1,1,3,SILVER,660,22.1
1470,15670374,Wright,819,Germany,Female,49,1,120656.86,4,0,0,166164.3,1,1,3,PLATINUM,991,28.41
1479,15630725,Johnson,649,France,Female,45,5,92786.66,1,1,0,173365.9,1,1,1,GOLD,919,21.689999999999998
1486,15700212,Shih,475,France,Female,46,10,0.0,2,0,0,122953.0,1,1,3,DIAMOND,800,36.0
1488,15716491,Akabueze,710,Spain,Female,51,4,93656.95,1,0,1,141400.51,1,1,5,DIAMOND,933,34.33
1493,15744517,Esposito,735,Spain,Male,50,9,0.0,1,0,0,166677.35,1,1,2,PLATINUM,886,30.36
1495,15808189,Woodard,449,France,Male,52,6,0.0,2,0,1,123622.0,0,0,3,PLATINUM,995,33.95
1496,15580845,Chienezie,685,Germany,Male,57,7,101868.51,1,0,1,113483.96,0,0,4,DIAMOND,911,35.61
1518,15812071,Endrizzi,744,France,Male,54,6,93806.31,2,0,1,140068.77,0,0,2,PLATINUM,306,24.06
1520,15738267,Macarthur,544,France,Female,64,3,124043.8,1,1,1,111402.97,1,1,1,DIAMOND,642,17.92
1525,15653595,Ts'ai,796,France,Male,51,6,0.0,2,0,1,194733.28,0,0,1,PLATINUM,804,26.04
1535,15782736,Jose,573,Germany,Female,47,4,152522.47,1,0,1,164038.07,1,1,4,GOLD,273,24.73
1547,15727944,Simpkinson,701,Germany,Female,48,1,92072.68,1,1,1,133992.36,0,0,3,SILVER,340,17.9
1550,15584364,Trentini,652,France,Male,48,4,59486.31,1,1,0,163944.18,1,1,5,SILVER,751,30.509999999999998
1552,15749177,Maslow,730,Spain,Female,52,7,0.0,2,0,1,122398.84,0,0,5,SILVER,800,39.5
1568,15683124,Evans,713,France,Male,53,6,115029.4,1,0,0,191521.32,1,1,2,PLATINUM,338,20.38
1571,15607133,Shih,717,Spain,Female,49,1,110864.38,2,1,1,124532.9,1,1,1,PLATINUM,845,18.95
1589,15758035,Bateson,747,France,Male,61,7,155973.13,1,0,1,147554.26,0,0,5,GOLD,527,34.769999999999996
1602,15594404,Bevan,834,France,Female,49,8,160602.25,2,1,0,129273.94,0,0,2,GOLD,771,29.71
1612,15781553,Chung,760,Germany,Female,49,9,91502.99,1,1,0,117232.9,1,1,5,PLATINUM,511,35.61
1613,15649121,Pinto,665,France,Male,52,3,0.0,1,1,0,116137.01,1,1,1,GOLD,307,12.57
1631,15634950,Obiajulu,657,Germany,Male,57,8,107174.58,1,1,1,126369.55,1,1,2,SILVER,288,24.88
1632,15685372,Azubuike,350,Spain,Male,54,1,152677.48,1,1,1,191973.49,1,1,3,SILVER,643,20.93
1647,15651533,Brown,570,Germany,Female,50,5,129293.74,1,1,0,177805.44,1,1,4,DIAMOND,988,31.380000000000003
1654,15633233,McFarland,500,France,Male,56,1,100374.58,1,1,0,118490.8,1,1,4,DIAMOND,950,25.0
1658,15752342,Bradley,704,Germany,Female,54,6,133656.91,3,1,0,145071.33,1,1,1,PLATINUM,329,21.29
1665,15791991,Udinesi,773,France,Male,52,4,0.0,1,0,1,144113.42,0,0,4,SILVER,748,29.48
1668,15718247,Hayden,606,Spain,Female,46,8,0.0,2,1,1,183717.94,0,0,2,DIAMOND,939,33.39
1684,15709387,Obiajulu,711,France,Male,52,5,0.0,1,1,1,159808.95,0,0,2,SILVER,258,20.08
1697,15700255,Robson,814,Germany,Male,44,8,95488.82,2,0,0,107013.59,0,0,4,DIAMOND,474,32.74
1702,15605279,Francis,792,France,Male,50,9,0.0,4,1,1,194700.81,1,1,4,DIAMOND,369,39.19
1709,15772892,Robertson,699,France,Female,49,2,0.0,1,0,0,105760.01,0,0,4,PLATINUM,370,20.7
1715,15738828,Milano,730,Germany,Male,45,6,152880.97,1,0,0,162478.11,0,0,4,PLATINUM,856,31.560000000000002
1733,15680727,Fang,735,France,Male,49,5,121973.28,1,1,0,148804.36,0,0,1,DIAMOND,916,21.66
1743,15578603,Alexeieva,584,Germany,Female,54,1,77354.37,1,0,0,138192.98,1,1,5,SILVER,668,25.18
1747,15765694,Bage,584,Spain,Female,59,1,0.0,1,0,1,130260.11,1,1,1,PLATINUM,462,13.120000000000001
1756,15778410,Clarke,533,Spain,Female,52,7,0.0,1,0,1,194113.99,1,1,5,DIAMOND,590,35.4
1768,15596397,Kelly,814,France,Female,48,7,0.0,2,1,1,132870.15,0,0,1,GOLD,260,22.1
1808,15605037,Ting,818,France,Female,49,2,0.0,1,0,1,192298.84,1,1,4,GOLD,544,24.44
1811,15592994,Zikoranachidimma,651,France,Female,65,0,0.0,2,1,1,190454.04,0,0,4,PLATINUM,700,25.0
1820,15712319,Chukwukere,714,Spain,Male,45,8,150900.29,2,0,1,139889.15,0,0,5,DIAMOND,734,40.34
1824,15711219,Jennings,788,Germany,Female,57,8,93716.72,1,1,1,180150.49,1,1,1,GOLD,696,25.96
1830,15605275,Ofodile,725,Germany,Male,45,8,116917.07,1,0,0,173464.43,1,1,5,GOLD,489,33.89
1838,15619343,Mahmood,561,France,Male,56,7,152759.0,2,1,0,133167.11,1,1,2,GOLD,377,24.27
1840,15761374,Bellucci,706,France,Male,54,9,117444.51,1,1,1,186238.85,0,0,2,PLATINUM,344,26.94
1845,15699634,Howard,667,France,Female,48,2,0.0,2,1,1,148608.39,0,0,1,SILVER,797,19.97
1859,15780746,Tyndall,705,France,Male,61,4,0.0,2,1,1,191313.7,0,0,2,DIAMOND,606,24.06
1865,15805312,Bellucci,607,France,Male,45,7,123859.6,1,0,1,113051.57,0,0,1,DIAMOND,859,26.09
1867,15632575,Moore,559,France,Female,70,9,0.0,1,1,1,122996.76,0,0,4,DIAMOND,765,37.15
1878,15643630,Quaife,770,Spain,Male,55,9,63127.41,2,1,0,185211.28,1,1,4,SILVER,968,39.18
1889,15663921,Pisani,429,France,Male,60,7,0.0,2,1,1,163691.48,0,0,5,DIAMOND,778,39.28
