RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned,Loyalty_Score
468,15593782,Brookes,816,Germany,Female,38,5,130878.75,3,1,0,71905.77,1,1,4,GOLD,961,35.11
471,15759298,Shih,631,Spain,Male,27,10,134169.62,1,1,1,176730.02,0,0,5,PLATINUM,863,42.63
478,15809722,Ankudinov,611,France,Female,40,8,100812.33,2,1,0,147358.27,0,0,2,DIAMOND,927,31.27
481,15695585,Atkins,788,Spain,Male,34,6,156478.62,1,0,1,181196.76,0,0,3,DIAMOND,760,29.6
484,15578186,Pirozzi,486,Germany,Male,37,9,115217.99,2,1,0,144995.33,0,0,1,GOLD,882,29.32
495,15585865,Westerberg,673,France,Female,38,2,170061.92,2,0,0,134901.34,1,1,5,PLATINUM,954,31.54
496,15804256,Hale,765,Germany,Male,36,8,92310.54,2,1,1,72924.56,0,0,3,DIAMOND,547,32.47
497,15662403,Kryukova,622,France,Female,32,6,169089.38,2,1,0,101057.95,0,0,5,SILVER,238,30.38
499,15591995,Barry,757,Germany,Male,26,8,121581.56,2,1,1,127059.04,0,0,5,SILVER,595,38.95
523,15595766,Watts,527,Spain,Male,37,5,93722.73,2,1,1,139093.73,0,0,3,PLATINUM,453,27.03
524,15742358,Humphreys,696,Germany,Male,32,8,101160.99,1,1,1,115916.55,0,0,4,DIAMOND,694,34.94
541,15667896,De Luca,833,France,Male,37,8,151226.18,2,1,1,136129.49,0,0,3,DIAMOND,633,33.33
553,15763063,Price,685,Spain,Female,25,10,128509.63,1,1,0,121562.33,0,0,3,DIAMOND,560,31.6
555,15711309,Sumrall,574,Germany,Male,33,3,129834.67,1,1,0,193131.42,0,0,5,SILVER,470,26.2
557,15705515,Lazarev,587,Germany,Male,40,5,138241.9,2,1,0,159418.1,0,0,5,SILVER,403,30.53
563,15665678,Tan,607,Spain,Male,36,8,158261.68,1,1,1,76744.72,0,0,5,GOLD,863,39.63
569,15795564,Moretti,737,Germany,Male,31,5,121192.22,2,1,1,74890.58,0,0,2,PLATINUM,815,27.65
573,15622003,Carslaw,745,France,Male,35,9,92566.53,2,1,0,161519.77,0,0,4,SILVER,742,36.92
577,15761986,Obialo,439,Spain,Female,32,3,138901.61,1,1,0,75685.97,0,0,4,DIAMOND,913,27.630000000000003
578,15633922,Gray,755,France,Male,30,4,123217.66,2,0,1,144183.1,0,0,3,GOLD,786,28.86
582,15737741,McKay,607,Spain,Female,33,2,108431.87,2,0,1,109291.39,1,1,5,PLATINUM,647,30.47
602,15645569,Mai,762,Spain,Female,26,7,123709.46,2,1,1,169654.57,0,0,4,PLATINUM,669,35.19
605,15609286,Chadwick,702,France,Male,37,10,150525.8,1,1,1,94728.49,0,0,4,DIAMOND,541,36.41
611,15686611,Moss,495,France,Male,30,10,129755.99,1,0,0,172749.65,0,0,2,DIAMOND,753,30.53
615,15660271,Duncan,688,Germany,Male,26,8,146133.39,1,1,1,175296.76,0,0,4,PLATINUM,866,36.66
621,15682585,Guerra,593,France,Male,35,9,114193.24,1,1,0,71154.1,0,0,5,DIAMOND,660,37.1
622,15603134,Pai,656,Spain,Female,40,10,167878.5,1,0,1,151887.16,0,0,5,PLATINUM,806,42.06
627,15626900,Kung,427,France,Male,29,1,141325.56,1,1,1,93839.3,0,0,5,GOLD,589,26.39
640,15798398,Pagnotto,785,France,Female,36,4,135438.4,1,0,0,190627.01,0,0,4,SILVER,834,28.34
656,15692926,Toscani,498,Germany,Male,25,8,121702.73,1,1,1,132210.49,0,0,4,DIAMOND,793,35.93
684,15786905,Russo,749,Germany,Female,40,8,141782.57,2,0,0,86333.63,0,0,3,DIAMOND,678,31.78
685,15747867,Trevisani,583,France,Male,24,9,135125.28,1,0,0,89801.9,0,0,5,SILVER,304,33.54
687,15801277,Maccallum,715,France,Female,31,2,112212.14,2,1,1,181600.72,0,0,5,PLATINUM,641,30.41
710,15734886,Mazzi,686,France,Female,34,3,123971.51,2,1,0,147794.63,0,0,5,PLATINUM,410,27.6
724,15571973,Chinwemma,776,France,Female,38,2,169824.46,1,1,0,169291.7,0,0,5,SILVER,844,28.439999999999998
725,15626742,Carpenter,694,France,Male,36,3,97530.25,1,1,1,117140.41,0,0,5,SILVER,522,28.72
742,15716835,Rossi,546,France,Male,24,8,156325.38,1,1,1,125381.02,0,0,2,DIAMOND,494,26.94
747,15787619,Hsieh,844,France,Male,18,2,160980.03,1,0,0,145936.28,0,0,5,DIAMOND,821,28.21
756,15660101,Nnonso,803,France,Male,31,9,157120.86,2,1,0,141300.53,0,0,3,GOLD,963,36.13
757,15637979,Fuller,664,Germany,Female,36,2,127160.78,2,1,0,78140.75,0,0,5,GOLD,705,29.05
759,15647099,Ts'ui,633,France,Female,37,9,156091.97,1,1,0,72008.61,0,0,5,GOLD,519,35.69
762,15582741,Maclean,693,France,Female,35,5,124151.09,1,1,0,88705.14,1,1,5,DIAMOND,854,33.04
780,15769974,Shih,679,Spain,Female,35,8,119182.73,1,0,0,121210.09,0,0,3,SILVER,369,26.69
796,15686870,Ball,761,Germany,Male,36,8,108239.11,2,0,0,99444.02,0,0,4,DIAMOND,954,37.54
805,15640280,Cameron,850,France,Male,39,4,127771.35,2,0,1,151738.54,0,0,4,PLATINUM,404,28.04
810,15778463,Ikenna,657,France,Female,37,6,95845.6,1,1,0,122218.23,0,0,5,GOLD,517,31.17
814,15775306,Ni,421,Germany,Male,28,8,122384.22,3,1,1,89017.38,1,1,4,SILVER,237,34.37
829,15596914,Shaw,630,Germany,Female,31,2,112373.49,2,1,1,131167.98,0,0,3,SILVER,888,26.880000000000003
834,15625881,Koehler,634,Germany,Male,37,3,111432.77,2,1,1,167032.49,0,0,4,GOLD,558,28.08
858,15760550,Duncan,741,Spain,Male,39,7,143637.58,2,0,1,174227.66,0,0,4,PLATINUM,437,32.87
859,15686137,Barry,456,Spain,Male,32,9,147506.25,1,1,1,135399.21,0,0,3,DIAMOND,454,31.04
876,15653762,Chidiebele,501,France,Female,39,9,117301.66,1,0,0,182025.95,0,0,5,SILVER,721,37.71
883,15785519,May,565,France,Male,36,6,106192.1,1,1,0,149575.59,0,0,5,DIAMOND,237,28.37
904,15786014,Ku,568,France,Male,28,5,145105.64,2,1,0,185489.11,0,0,5,GOLD,975,36.25
909,15754713,Rivera,685,Spain,Male,31,10,135213.71,1,1,1,125777.28,0,0,4,GOLD,444,35.44
911,15599660,Bennett,604,France,Male,36,6,116229.85,2,1,1,79633.38,0,0,3,PLATINUM,684,30.84
915,15710404,Chinwendu,569,France,Male,35,10,124525.52,1,1,1,193793.78,0,0,5,PLATINUM,693,40.93
928,15633461,Pai,639,Germany,Male,38,5,130170.82,1,1,1,149599.62,0,0,4,GOLD,577,29.27
941,15754084,Palazzi,710,Spain,Male,35,1,106518.52,1,1,1,127951.81,0,0,4,PLATINUM,939,26.89
967,15589805,Benson,563,France,Female,34,6,139810.34,1,1,1,152417.79,0,0,5,DIAMOND,254,30.54
974,15779711,Gray,750,Spain,Female,38,7,97257.41,2,0,1,179883.04,0,0,3,DIAMOND,324,28.740000000000002
975,15705620,Lu,730,France,Male,34,5,122453.37,2,1,0,138882.98,0,0,4,DIAMOND,822,31.72
989,15664521,David,659,Spain,Male,31,7,149620.88,2,1,1,104533.51,0,0,5,SILVER,417,35.67
994,15782899,Ginn,661,Spain,Female,28,7,95357.49,1,0,0,102297.15,0,0,5,GOLD,508,32.58
1022,15717164,Genovese,485,Spain,Male,32,6,102238.01,2,1,1,194010.12,0,0,4,PLATINUM,784,34.84
1034,15695475,Maclean,645,France,Male,29,1,130131.08,2,0,1,196474.35,0,0,4,SILVER,846,27.96
1045,15779059,Timms,670,France,Female,38,4,119624.54,2,1,1,110472.12,0,0,4,PLATINUM,732,31.32
1046,15785980,Williford,588,Spain,Male,34,6,121132.26,2,1,0,86460.28,0,0,3,DIAMOND,468,26.68
1080,15748856,Liang,664,France,Male,32,10,107209.73,1,1,1,112340.2,0,0,2,DIAMOND,739,32.39
1091,15604304,Perry,539,Germany,Female,34,4,91622.42,1,1,1,136603.42,0,0,5,PLATINUM,714,32.14
1127,15593973,Wilkie,663,Spain,Female,33,8,122528.18,1,1,0,196260.3,0,0,4,SILVER,261,28.61
1132,15733974,Mao,500,Spain,Male,37,9,125822.21,1,1,0,111698.0,0,0,5,PLATINUM,266,33.16
1136,15656121,Medvedeva,733,Germany,Male,31,6,157791.07,2,0,0,177994.81,0,0,5,SILVER,845,36.45
1142,15716134,Russo,617,France,Male,40,5,190008.32,2,1,1,107047.92,0,0,4,GOLD,486,30.36
1170,15650351,Millar,653,France,Female,38,8,102133.38,1,1,1,166520.96,0,0,3,SILVER,795,32.95
1180,15814032,Hsieh,807,Germany,Female,31,1,93460.47,2,0,0,172782.69,0,0,5,PLATINUM,597,26.47
1187,15589257,Grant,670,France,Female,35,3,103465.02,2,1,1,174627.06,0,0,3,SILVER,671,26.21
1190,15791279,Murray,701,France,Male,40,5,169742.64,1,1,1,153537.55,1,1,4,GOLD,840,31.9
1199,15678058,Ayers,584,France,Male,38,9,104584.16,1,1,0,176678.72,0,0,4,GOLD,565,33.15
1201,15804602,Boyd,772,Germany,Male,30,6,99785.28,2,0,0,197238.03,0,0,3,PLATINUM,410,26.1
1204,15569451,Miller,463,France,Male,35,2,101257.16,1,1,1,118113.64,0,0,4,PLATINUM,900,28.0
1221,15654654,L?,725,Germany,Female,33,7,115182.84,2,1,1,177279.41,0,0,2,PLATINUM,470,27.2
1242,15760774,Hargraves,519,France,Female,21,1,146329.57,2,1,1,194867.27,0,0,5,PLATINUM,398,26.48
1251,15702789,Carter,548,Germany,Male,32,5,175214.71,1,1,1,155165.61,0,0,5,DIAMOND,574,32.24
1252,15814930,McGregor,588,Germany,Female,40,10,125534.51,1,1,0,121504.18,1,1,5,SILVER,801,40.01
1263,15747591,Chung,665,Spain,Female,40,1,173432.55,1,0,1,116766.79,0,0,5,PLATINUM,870,29.2
1275,15625916,Chien,562,Spain,Male,32,6,161628.66,1,1,0,91482.5,0,0,5,SILVER,561,31.61
1276,15683195,Ubanwa,719,France,Male,32,9,146605.27,1,1,1,77119.45,0,0,2,GOLD,603,29.53
1288,15565701,Ferri,698,Spain,Female,39,9,161993.89,1,0,0,90212.38,0,0,3,DIAMOND,515,29.65
1291,15813917,Kirk,653,Germany,Male,31,9,143321.97,1,1,0,83679.46,0,0,3,DIAMOND,495,29.45
1296,15737748,McWilliam,534,Spain,Female,33,3,151233.62,1,0,0,199336.63,0,0,5,PLATINUM,472,26.22
1309,15662294,Bennett,710,France,Male,33,10,118327.17,2,1,1,192928.82,0,0,1,GOLD,809,32.09
1312,15750497,Longo,850,France,Female,37,7,153147.75,1,1,1,152235.3,0,0,5,GOLD,867,38.17
1338,15650889,Golubev,710,Germany,Female,30,10,133537.1,2,1,0,155593.74,0,0,1,PLATINUM,464,26.64
1345,15691104,Kennedy,460,Germany,Female,40,6,119507.58,2,1,0,91560.63,1,1,5,SILVER,766,35.66
1395,15582180,Lees,561,France,Male,29,9,120268.13,1,1,1,173870.39,0,0,5,GOLD,566,38.16
1401,15670481,Woods,684,France,Female,27,9,122550.05,2,0,1,137835.82,0,0,2,GOLD,807,33.57
1415,15620507,Siciliani,485,Germany,Female,30,5,156771.68,1,1,1,141148.21,0,0,5,PLATINUM,644,32.94
1416,15685150,Evans,799,Germany,Male,28,7,167658.33,2,1,1,111138.25,0,0,5,DIAMOND,938,40.88
1447,15680855,Iloabuchi,637,France,Male,33,2,145731.83,1,0,1,109219.43,0,0,4,SILVER,721,26.21
1451,15676242,Artemova,632,Spain,Male,31,3,136556.44,1,1,0,82152.83,1,1,4,SILVER,964,28.14
1456,15784280,Reilly,686,Germany,Male,35,2,109342.82,2,0,1,86043.27,0,0,5,PLATINUM,663,30.63
1477,15703399,McNeil,756,France,Female,26,5,101641.14,2,0,1,154460.68,0,0,5,GOLD,351,32.01
1490,15617705,Ozioma,609,France,Female,39,8,141675.23,1,0,1,175664.25,0,0,4,SILVER,440,32.4
1499,15677049,O'Brien,595,Germany,Female,25,7,106570.34,2,0,1,177025.79,0,0,3,GOLD,506,30.56
1517,15701333,Blackburn,646,France,Female,37,7,96558.66,1,0,0,163427.18,0,0,3,PLATINUM,493,26.43
1531,15640953,Bligh,611,France,Female,26,2,107508.93,2,1,1,120801.65,0,0,4,DIAMOND,720,28.2
1536,15614818,Trevisani,764,Spain,Female,33,9,168964.77,1,0,1,118982.51,0,0,2,GOLD,915,32.65
1540,15797686,Howard,558,France,Male,38,8,113000.92,1,1,1,152872.39,0,0,2,GOLD,784,29.84
1543,15690678,Brooks,530,France,Female,33,4,129307.32,1,1,1,172930.28,0,0,5,PLATINUM,741,32.41
1555,15779481,Swadling,628,France,Male,34,4,158741.43,2,1,1,126192.54,0,0,3,PLATINUM,983,30.83
1567,15651063,Ifeatu,524,Germany,Female,37,9,127480.58,2,1,0,179634.69,0,0,2,SILVER,512,28.62
1575,15693018,Ermakova,678,Germany,Male,23,10,115563.71,1,1,1,91633.53,0,0,3,DIAMOND,297,30.97
1579,15585047,Onyemere,715,France,Male,28,7,160376.61,1,0,0,196853.11,0,0,5,DIAMOND,987,37.37
1582,15576517,Everingham,445,Germany,Female,34,7,131082.17,2,1,1,70618.0,0,0,4,PLATINUM,802,36.519999999999996
1586,15692002,Skelton,538,France,Male,33,6,93791.38,1,1,1,199249.29,0,0,5,PLATINUM,718,35.18
1591,15651802,Day,632,Spain,Female,39,5,97854.37,2,1,0,93536.38,0,0,4,DIAMOND,271,26.21
1619,15662955,Nicholls,697,France,Male,27,8,141223.68,2,1,0,90591.15,0,0,1,PLATINUM,900,28.0
1620,15770309,McDonald,656,France,Male,18,10,151762.74,1,0,1,127014.32,0,0,2,GOLD,778,32.78
1636,15604804,Lu,516,France,Female,33,7,127305.5,1,1,1,120037.36,0,0,4,GOLD,924,35.74
1649,15655574,Okeke,698,Germany,Female,40,8,150777.1,1,1,0,114732.62,0,0,3,GOLD,981,32.81
1652,15585067,Wilson,634,Spain,Male,31,9,108632.48,1,1,1,179485.96,1,1,5,DIAMOND,760,40.1
1660,15741429,Hudson,680,Spain,Female,31,9,119825.75,2,1,1,101139.3,0,0,5,DIAMOND,307,37.57
1681,15811236,Burns,705,Spain,Male,39,6,133261.13,1,1,1,78065.9,0,0,4,GOLD,344,28.44
1693,15809006,Walker,602,France,Male,23,7,113758.48,2,0,0,84077.6,0,0,4,DIAMOND,719,33.69
1695,15744614,Feng,541,France,Male,37,9,118636.92,1,1,1,73551.44,0,0,2,GOLD,771,31.21
1711,15567993,Palmer,828,Spain,Male,28,8,134766.85,1,1,0,79355.87,0,0,3,GOLD,738,30.38
1712,15617603,Mackay,850,Germany,Male,30,5,123210.56,2,1,1,102180.27,0,0,4,DIAMOND,749,32.99
1727,15745107,Lung,776,Germany,Male,38,5,112281.7,1,0,1,89893.6,0,0,4,DIAMOND,962,33.12
1746,15772995,Ts'ao,529,France,Male,30,2,116295.29,1,1,0,75285.47,0,0,4,PLATINUM,997,26.97
1751,15569410,Tang,601,Germany,Female,33,7,114430.18,2,1,1,153012.13,0,0,2,SILVER,976,32.26
1752,15632256,Schroeder,541,France,Male,29,7,127504.57,1,0,0,86173.92,0,0,4,DIAMOND,647,30.97
1761,15701121,Holt,521,France,Male,38,5,110641.18,1,0,1,136507.69,1,1,4,SILVER,815,31.65
1762,15796313,Olsen,662,France,Female,36,4,166909.2,2,1,0,138871.12,1,1,5,GOLD,970,34.7
1773,15756471,Giles,656,Germany,Male,27,4,118627.16,2,1,1,160835.3,0,0,4,SILVER,563,29.63
1775,15802256,Yao,439,France,Male,28,7,110976.23,2,1,0,138526.96,0,0,4,PLATINUM,566,32.16
1776,15725664,Wallace,549,France,Female,38,8,107283.4,1,0,0,157442.75,0,0,4,SILVER,555,31.55
1786,15589380,Fraser,713,Germany,Male,40,3,114446.84,2,1,1,87308.18,0,0,4,DIAMOND,391,26.41
1803,15779247,Pai,683,Spain,Female,24,8,98567.1,1,1,0,187987.01,0,0,1,SILVER,987,26.869999999999997
1813,15595221,Trevisano,850,Germany,Female,33,7,134678.13,1,1,0,113177.95,0,0,3,GOLD,596,27.46
1823,15779390,Theus,850,Spain,Female,31,4,91292.7,1,1,1,162149.07,0,0,5,GOLD,956,34.56
1825,15770498,Parker,798,France,Female,37,4,111723.08,1,1,1,83478.12,0,0,4,SILVER,778,29.78
1828,15740104,Tuan,425,Spain,Female,22,7,169649.73,2,0,1,136365.0,1,1,2,GOLD,619,28.69
1849,15685844,White,518,Germany,Female,35,8,141665.63,1,0,1,192776.64,0,0,3,GOLD,701,32.01
1851,15587581,Russo,785,Germany,Female,33,5,136624.6,2,1,1,169117.74,0,0,3,PLATINUM,368,26.18
1853,15573741,Aliyeva,698,Spain,Male,38,10,95010.92,1,1,1,105227.86,0,0,4,SILVER,227,33.27
1862,15786852,Nwachukwu,565,Germany,Female,38,2,158651.29,2,1,1,179445.28,0,0,4,PLATINUM,805,29.05
1864,15641183,Chin,731,Spain,Male,25,8,96950.21,1,1,0,97877.92,0,0,5,PLATINUM,448,33.480000000000004
1870,15597909,Johnstone,652,Germany,Male,33,7,128135.99,1,1,0,158437.73,0,0,5,DIAMOND,671,34.21
1875,15590268,Chu,529,Spain,Male,35,5,95772.97,1,1,1,112781.5,0,0,5,DIAMOND,619,32.69
1888,15680918,Freeman,613,Spain,Male,34,8,117300.02,1,1,0,139410.08,0,0,5,SILVER,572,34.72
1890,15716324,Ignatieff,665,France,Female,23,9,143672.9,1,1,1,115147.33,0,0,3,SILVER,640,32.9
1896,15649418,Krylov,776,France,Female,29,7,178171.04,2,1,1,115818.51,0,0,5,DIAMOND,977,41.269999999999996
1906,15566843,Gotch,535,Germany,Male,20,9,134874.4,1,1,1,118825.56,0,0,2,GOLD,640,29.9
1923,15805637,Hsing,625,France,Male,36,9,108546.16,3,1,0,133807.77,1,1,5,GOLD,330,37.8
1924,15629575,Wheare,717,France,Male,36,2,148061.89,1,1,0,179128.69,1,1,5,PLATINUM,969,29.689999999999998
1928,15647782,Brown,729,Germany,Male,36,8,152899.24,2,1,0,177130.33,0,0,4,SILVER,625,34.25
1931,15627262,Soto,536,Germany,Male,23,6,92366.72,2,1,0,120661.71,0,0,2,DIAMOND,733,26.33
1932,15652693,Greco,573,France,Female,26,4,129109.02,1,0,0,149814.68,1,1,4,PLATINUM,743,27.43
1937,15810457,Miller,728,Germany,Female,33,9,150412.14,2,1,0,170764.08,0,0,2,DIAMOND,499,28.490000000000002
1939,15594902,Lombardi,518,France,Male,38,3,90957.81,1,0,1,162304.59,0,0,4,PLATINUM,846,28.96
1940,15799710,Wei,739,France,Male,37,7,104960.46,1,0,1,80883.82,0,0,5,SILVER,384,33.34
1946,15607347,Olisaemeka,734,France,Male,22,5,130056.23,1,0,0,121894.31,1,1,4,SILVER,830,29.8
1947,15698321,Yobanna,648,Germany,Male,34,3,95039.73,2,1,1,147055.87,0,0,3,DIAMOND,681,26.31
1951,15615456,Aleksandrova,680,France,Female,37,10,123806.28,1,1,0,81776.84,1,1,4,GOLD,997,38.97
1965,15738318,Kung,800,France,Female,40,5,97764.41,1,1,0,98640.15,1,1,3,PLATINUM,889,27.39
1975,15679283,Parkhill,694,France,Female,33,4,129731.64,2,1,0,178123.86,0,0,3,DIAMOND,718,26.18
1979,15792329,Mao,494,Germany,Male,37,5,107106.33,2,1,0,172063.09,0,0,3,PLATINUM,586,26.36
1983,15756680,Phillips,667,France,Male,28,6,165798.1,1,1,0,147090.9,0,0,5,DIAMOND,404,30.04
1993,15748381,Gorbunov,613,France,Female,29,6,185709.28,2,1,1,77242.19,0,0,2,SILVER,784,28.84
2005,15729970,Ugochukwu,684,Germany,Male,29,8,127269.75,1,0,1,79495.01,0,0,4,PLATINUM,742,35.42
2014,15742238,Dellucci,705,Germany,Male,35,4,136496.12,2,1,0,116672.02,0,0,5,DIAMOND,427,29.27
2017,15633612,Yuryeva,696,France,Male,28,4,172646.82,1,1,1,116471.43,0,0,4,DIAMOND,441,26.41
2038,15678146,Wong,668,Spain,Female,24,7,173962.32,1,0,0,106457.11,1,1,2,SILVER,967,28.17
2041,15626684,Huang,547,France,Female,38,5,167539.97,1,0,1,159207.34,0,0,5,PLATINUM,662,33.12
2042,15709846,Yeh,840,France,Female,39,1,94968.97,1,1,0,84487.62,0,0,5,SILVER,932,27.82
2053,15644765,Ashton,689,Germany,Male,26,4,120727.97,1,0,1,149073.88,0,0,5,PLATINUM,915,34.15
2061,15747980,Cattaneo,737,Spain,Male,38,6,146282.79,2,1,0,198516.2,0,0,5,PLATINUM,703,35.03
2067,15772262,Vavilov,545,Germany,Male,37,9,110483.86,1,1,1,127394.67,0,0,5,DIAMOND,233,34.83
2070,15790379,Rowe,629,Germany,Male,28,8,108601.0,1,1,1,119647.7,0,0,1,GOLD,756,26.56
2078,15744843,K'ung,569,Spain,Female,34,6,144855.34,1,0,0,196555.32,0,0,4,GOLD,697,29.97
2082,15809143,White,456,Germany,Male,32,9,133060.63,1,1,1,125167.92,0,0,2,DIAMOND,655,30.05
2125,15603851,Galkin,704,France,Male,32,7,127785.17,4,0,0,184464.7,1,1,1,PLATINUM,981,31.310000000000002
2128,15703482,Walker,710,Germany,Male,34,9,134260.36,2,1,0,147074.67,0,0,5,GOLD,257,35.07
2130,15664881,Norton,702,France,Male,34,4,100054.77,1,1,0,109496.45,0,0,3,PLATINUM,907,26.07
